lotplan,date,harvested_tonnes,min_N,max_N,leaf_water_content,sugar_made,dollar_made
1121C124168,2019-04-21,0,107.7982119,122.7982119,0.6725716,0,0
1121C124168,2019-05-01,2727.784,133.4798904,148.4798904,0.724082629,413.300606060606,60011.248
1121C124168,2019-05-11,0,95.11435027,110.1143503,0.707276923,0,0
1121C124168,2019-05-21,16141.017,135,150,0.534438788,2445.60863636364,355102.374
1121C124168,2019-06-10,0,135,150,0.521727587,0,0
1121C124168,2019-06-20,0,95.58240836,110.5824084,0.746230568,0,0
1121C124168,2019-06-30,779.646,100.9045448,115.9045448,0.72421021,118.128181818182,17152.212
1121C124168,2019-07-20,1240.79,103.4785523,118.4785523,0.695903652,187.998484848485,27297.38
1121C124168,2019-07-30,883.208,106.9079368,121.9079368,,133.819393939394,19430.576
1121C124168,2019-08-09,345.858,104.2654067,119.2654067,0.729583607,52.4027272727273,7608.876
1172SP177373,2016-12-22,0,125.5645795,140.5645795,0.675265691,0,0
1172SP177373,2017-01-01,0,119.0944066,134.0944066,0.726350925,0,0
1172SP177373,2017-01-11,9089.031,118.7752196,133.7752196,0.650040887,1377.12590909091,199958.682
1172SP177373,2017-02-10,0,103.4833499,118.4833499,0.637595504,0,0
1172SP177373,2017-02-20,1084.47,100.3206119,115.3206119,0.693043706,164.313636363636,23858.34
1172SP177373,2017-03-02,2819.622,114.0853052,129.0853052,0.607718858,427.215454545455,62031.684
1172SP177373,2017-03-12,0,108.1471154,123.1471154,0.669639001,0,0
1172SP177373,2017-04-01,0,103.5613156,118.5613156,0.74302957,0,0
1172SP177373,2017-04-11,363.444,104.1560331,119.1560331,0.705173949,55.0672727272727,7995.768
1172SP177373,2017-05-01,9667.415,135,150,0.448059589,1464.75984848485,212683.13
1172SP177373,2017-05-11,0,95.71460573,110.7146057,0.727699964,0,0
1172SP177373,2017-05-21,0,106.7957591,121.7957591,0.674795665,0,0
1172SP177373,2017-05-31,0,104.1973684,119.1973684,0.685306799,0,0
1172SP177373,2017-06-20,843.151,103.1895139,118.1895139,0.751151813,127.750151515152,18549.322
1172SP177373,2017-07-10,5435.051,123.7861869,138.7861869,0.644779706,823.492575757576,119571.122
1172SP177373,2017-07-20,0,108.3428272,123.3428272,0.724928253,0,0
1172SP177373,2017-07-30,1601.303,124.4183542,139.4183542,0.622402114,242.621666666667,35228.666
1172SP177373,2017-08-09,1179.239,122.9838429,137.9838429,0.637764645,178.672575757576,25943.258
1172SP177373,2017-08-19,1936.414,128.2392687,143.2392687,0.689614257,293.396060606061,42601.108
1172SP177373,2017-09-08,1988.195,134.1805635,149.1805635,0.649070799,301.241666666667,43740.29
1172SP177373,2017-09-18,0,135,150,0.718541127,0,0
1172SP177373,2017-09-28,4504.947,134.8159509,149.8159509,0.663354821,682.567727272727,99108.834
1172SP177373,2017-10-08,97.7,131.6666667,146.6666667,0.596279581,14.8030303030303,2149.4
1172SP177373,2017-10-28,0,108.3863636,123.3863636,0.635451875,0,0
1172SP177373,2017-11-07,0,115.5057096,130.5057096,0.678799043,0,0
1172SP177373,2017-11-17,0,135,150,0.667406058,0,0
1172SP177373,2017-11-27,0,134.9878552,149.9878552,0.587550814,0,0
1172SP177373,2017-12-07,3502.545,111.4613279,126.4613279,0.622486596,530.688636363636,77055.99
1172SP177373,2017-12-17,0,120.6972772,135.6972772,0.622739345,0,0
1172SP177373,2017-12-27,1040.505,111.7424948,126.7424948,0.63840174,157.652272727273,22891.11
1172SP177373,2018-01-06,5220.111,133.3528145,148.3528145,0.61708199,790.925909090909,114842.442
1172SP177373,2018-01-26,0,135,150,0.474612299,0,0
1172SP177373,2018-02-15,2408.305,111.686016,126.686016,0.711662732,364.894696969697,52982.71
1172SP177373,2018-03-17,980.908,111.8421479,126.8421479,0.67965531,148.622424242424,21579.976
1172SP177373,2018-04-16,0,129.4612069,144.4612069,0.701717968,0,0
1172SP177373,2018-04-26,0,93.18527411,108.1852741,0.715570116,0,0
1172SP177373,2018-05-06,6074.986,131.0243847,146.0243847,0.664661727,920.452424242424,133649.692
1172SP177373,2018-05-26,0,116.1177616,131.1177616,0.668374944,0,0
1172SP177373,2018-06-05,493.385,107.0116749,122.0116749,0.651051216,74.755303030303,10854.47
1172SP177373,2018-06-15,2998.413,114.7624599,129.7624599,0.663938349,454.305,65965.086
1172SP177373,2018-06-25,434.765,125.1802396,140.1802396,0.659640574,65.8734848484849,9564.83
1172SP177373,2018-07-05,4041.849,126.0646122,141.0646122,0.66137867,612.401363636364,88920.678
1172SP177373,2018-07-15,796.255,124.2738971,139.2738971,0.630377544,120.644696969697,17517.61
1172SP177373,2018-07-25,1386.363,128.9344262,143.9344262,0.665608232,210.055,30499.986
1172SP177373,2018-08-04,582.292,132.6570635,147.6570635,0.627436233,88.2260606060606,12810.424
1172SP177373,2018-08-14,1402.972,132.5709343,147.5709343,0.698672256,212.571515151515,30865.384
1172SP177373,2018-08-24,337.065,133.4863636,148.4863636,0.682855947,51.0704545454546,7415.43
1172SP177373,2018-09-03,582.292,131.6964286,146.6964286,0.746273879,88.2260606060606,12810.424
1172SP177373,2018-09-13,0,134.6225166,149.6225166,0.638887694,0,0
1172SP177373,2018-10-03,168.044,135,150,0.665943838,25.4612121212121,3696.968
1172SP177373,2018-10-23,559.821,118.5,133.5,0.700787346,84.8213636363636,12316.062
1172SP177373,2018-11-02,0,116.7857143,131.7857143,0.660599018,0,0
1172SP177373,2018-11-12,0,124.7791798,139.7791798,0.674188155,0,0
1172SP177373,2018-11-22,0,135,150,0.657790646,0,0
1172SP177373,2018-12-02,0,135,150,0.654511099,0,0
1172SP177373,2019-01-01,0,132.2855598,147.2855598,0.645124414,0,0
1172SP177373,2019-01-21,1682.394,108.0047853,123.0047853,0.681998135,254.908181818182,37012.668
1172SP177373,2019-02-20,0,101.5211592,116.5211592,0.724478847,0,0
1172SP177373,2019-03-02,0,103.0260128,118.0260128,0.675910333,0,0
1172SP177373,2019-03-12,0,96.02398825,111.0239883,0.726956297,0,0
1172SP177373,2019-04-11,303.847,124.4868146,139.4868146,0.646526206,46.0374242424243,6684.634
1172SP177373,2019-04-21,2470.833,111.6063084,126.6063084,0.681313498,374.368636363636,54358.326
1172SP177373,2019-05-01,3348.179,134.441476,149.441476,0.679975858,507.299848484849,73659.938
